,red,green,blue,power
0,0,0,0,790.8979916836238
1,0,0,33,275.58346230378066
2,0,0,66,306.2420382165605
3,0,0,89,350.0172482420061
4,0,0,124,428.4402777163579
5,0,0,149,518.1478041661138
6,0,0,170,792.7961079168509
7,0,0,188,775.5414012738853
8,0,0,203,778.1235900384836
9,0,0,218,956.5177386534548
10,0,0,231,968.3241904087772
11,0,0,243,1708.8373739161211
12,0,0,255,1256.32880591072
13,0,33,0,235.36195993455095
14,0,33,33,340.3069031088312
15,0,33,66,321.4575686551984
16,0,33,89,360.15919342000524
17,0,33,124,511.6828879844275
18,0,33,149,525.813356921716
19,0,33,170,708.1862810136658
20,0,33,188,768.4756259400158
21,0,33,203,865.732484076433
22,0,33,218,963.6521277536937
23,0,33,231,1042.6861313868615
24,0,33,243,1135.5377604742735
25,0,33,255,1144.3033494093181
26,0,66,0,267.95436455293174
27,0,66,33,299.0289201379676
28,0,66,66,955.1182843245632
29,0,66,89,372.00743165531276
30,0,66,124,448.81793658515016
31,0,66,149,745.8882844633143
32,0,66,170,626.7238710248132
33,0,66,188,705.7012694059888
34,0,66,203,886.1538461538462
35,0,66,218,888.2707365627074
36,0,66,231,985.0552950544103
37,0,66,243,1175.6974120769742
38,0,66,255,1228.6980756469807
39,0,89,0,840.3926076576178
40,0,89,33,925.5323664662186
41,0,89,66,424.83661286756575
42,0,89,89,480.4033078317782
43,0,89,124,587.8694613955956
44,0,89,149,1116.3343653250772
45,0,89,170,1284.9250364866657
46,0,89,188,1377.1420989783733
47,0,89,203,1362.6409416762547
48,0,89,218,1087.5328467153286
49,0,89,231,1621.0351234185614
50,0,89,243,1579.8274717982747
51,0,89,255,1828.6037869403647
52,0,124,0,320.3961796957906
53,0,124,33,973.4565553835948
54,0,124,66,987.8506987440297
55,0,124,89,561.6031851360318
56,0,124,124,1136.56392340689
57,0,124,149,1143.3889159184396
58,0,124,170,1321.3323306940329
59,0,124,188,1332.4251404308018
60,0,124,203,1482.868138187287
61,0,124,218,1589.6509312923063
62,0,124,231,1648.6993452486288
63,0,124,243,1170.0398124391754
64,0,124,255,1860.6798866855522
65,0,149,0,936.8628664927254
66,0,149,33,981.2276667256324
67,0,149,66,1004.84076433121
68,0,149,89,1068.4405130473242
69,0,149,124,1190.0552779374696
70,0,149,149,1270.5470304691992
71,0,149,170,1326.1934456680378
72,0,149,188,1446.1146496815284
73,0,149,203,1530.3264620012385
74,0,149,218,1596.5037377803335
75,0,149,231,1713.3483742534836
76,0,149,243,1780.8966585527771
77,0,149,255,1869.9677034022031
78,0,170,0,992.3481029450782
79,0,170,33,1085.619776234909
80,0,170,66,1118.5702910731663
81,0,170,89,1093.8192110383868
82,0,170,124,1242.128167705984
83,0,170,149,764.2974036887965
84,0,170,170,829.9902697921273
85,0,170,188,1412.931133619355
86,0,170,203,1531.2779227672843
87,0,170,218,1646.3694267515923
88,0,170,231,1678.1844724618447
89,0,170,243,1815.4333495553687
90,0,170,255,1879.734536766658
91,0,188,0,1034.211922872811
92,0,188,33,1127.3939769159333
93,0,188,66,1175.8429152662304
94,0,188,89,1203.8101976739044
95,0,188,124,1236.1236675660136
96,0,188,149,1364.9747899159663
97,0,188,170,816.7791587420938
98,0,188,188,1538.787288660706
99,0,188,203,1606.6952713761225
100,0,188,218,1691.2850002211703
101,0,188,231,1196.7175673881293
102,0,188,243,1778.2276688935096
103,0,188,255,1868.4387028270583
104,0,203,0,1110.6806421653177
105,0,203,33,1189.6510547963383
106,0,203,66,734.7120743034055
107,0,203,89,1268.9625895462987
108,0,203,124,1348.6108531245854
109,0,203,149,1341.0871776726083
110,0,203,170,1512.356687898089
111,0,203,188,1591.98796779616
112,0,203,203,1653.4324396071145
113,0,203,218,1755.1373589913735
114,0,203,231,1819.832735961768
115,0,203,243,1310.9211574196975
116,0,203,255,1986.171747113215
117,0,218,0,1175.790916729315
118,0,218,33,1258.3760834954892
119,0,218,66,743.3079780647445
120,0,218,89,1331.856700574967
121,0,218,124,1405.2881595824672
122,0,218,149,1492.2385418509998
123,0,218,170,1568.9171974522292
124,0,218,188,1645.4230990401202
125,0,218,203,1715.6145473851873
126,0,218,218,1806.5292400247722
127,0,218,231,1842.792302587923
128,0,218,243,1977.2601769911505
129,0,218,255,2049.5517897438167
130,0,231,0,1251.7530514770917
131,0,231,33,1266.751592356688
132,0,231,66,1365.5446945906497
133,0,231,89,1393.1826425443446
134,0,231,124,1476.491972933528
135,0,231,149,1557.1974522292992
